"Comp1"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp2"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp3"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp4"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp5"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp6"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp7"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp1"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp2"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp3"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp4"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp5"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp6"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
"Comp7"	0.0001	0.0003	0.001	0.003	0.01	0.03	0.1	0.3	1	3	10
